2024/04/29 18:00,01F0017N,01F0005N,31,90,61
2024/04/29 18:00,01F0005S,01F0017S,31,88,40
2024/04/29 18:00,01F0005S,01F0017S,32,82,11
2024/04/29 18:00,01F0005S,01F0017S,41,93,3
2024/04/29 18:00,01F0005S,01F0017S,42,0,0
2024/04/29 18:00,01F0005S,01F0017S,5,0,0
2024/04/29 18:00,01F0017S,01F0029S,31,90,73
2024/04/29 18:00,01F0017S,01F0029S,32,90,18
2024/04/29 18:00,01F0017S,01F0029S,41,93,5
2024/04/29 18:00,01F0017S,01F0029S,42,0,0
2024/04/29 18:00,01F0017S,01F0029S,5,0,0
2024/04/29 18:00,01F0029S,01F0061S,31,90,106
2024/04/29 18:00,01F0029S,01F0061S,32,86,32
2024/04/29 18:00,01F0029S,01F0061S,41,86,9
2024/04/29 18:00,01F0029S,01F0061S,42,88,2
2024/04/29 18:00,01F0029S,01F0061S,5,0,0
2024/04/29 18:00,01F0061S,01F0099S,31,90,185
2024/04/29 18:00,01F0061S,01F0099S,32,90,45
2024/04/29 18:00,01F0061S,01F0099S,41,90,11
2024/04/29 18:00,01F0061S,01F0099S,42,90,1
2024/04/29 18:00,01F0061S,01F0099S,5,82,1
2024/04/29 18:00,01F0099S,01F0147S,31,90,79
2024/04/29 18:00,01F0099S,01F0147S,32,90,17
2024/04/29 18:00,01F0099S,01F0147S,41,79,10
2024/04/29 18:00,01F0099S,01F0147S,42,86,5
2024/04/29 18:00,01F0099S,01F0147S,5,90,3
2024/04/29 18:00,01F0147S,01F0153S,31,90,132
2024/04/29 18:00,01F0147S,01F0153S,32,90,37
2024/04/29 18:00,01F0147S,01F0153S,41,86,11
2024/04/29 18:00,01F0147S,01F0153S,42,90,6
2024/04/29 18:00,01F0147S,01F0153S,5,88,6
2024/04/29 18:00,01F0153S,01F0182S,31,32,135
2024/04/29 18:00,01F0153S,01F0182S,32,32,29
2024/04/29 18:00,01F0153S,01F0182S,41,36,5
2024/04/29 18:00,01F0153S,01F0182S,42,32,3
2024/04/29 18:00,01F0153S,01F0182S,5,32,10
2024/04/29 18:00,01F0182S,01F0248S,31,28,203
2024/04/29 18:00,01F0182S,01F0248S,32,28,48
2024/04/29 18:00,01F0182S,01F0248S,41,25,3
2024/04/29 18:00,01F0182S,01F0248S,42,28,11
2024/04/29 18:00,01F0182S,01F0248S,5,25,8
2024/04/29 18:00,01F0248S,01F0264S,31,75,300
2024/04/29 18:00,01F0248S,01F0264S,32,75,63
2024/04/29 18:00,01F0248S,01F0264S,41,82,8
2024/04/29 18:00,01F0248S,01F0264S,42,72,7
2024/04/29 18:00,01F0248S,01F0264S,5,79,9
2024/04/29 18:00,01F0264S,01F0293S,31,86,283
2024/04/29 18:00,01F0264S,01F0293S,32,86,55
2024/04/29 18:00,01F0264S,01F0293S,41,82,19
2024/04/29 18:00,01F0264S,01F0293S,42,75,10
2024/04/29 18:00,01F0264S,01F0293S,5,73,6
2024/04/29 18:00,01F0293S,01F0339S,31,86,257
2024/04/29 18:00,01F0293S,01F0339S,32,82,43
2024/04/29 18:00,01F0293S,01F0339S,41,75,15
2024/04/29 18:00,01F0293S,01F0339S,42,72,5
2024/04/29 18:00,01F0293S,01F0339S,5,72,3
2024/04/29 18:00,01H0305S,01F0339S,31,79,132
2024/04/29 18:00,01H0305S,01F0339S,32,79,31
2024/04/29 18:00,01H0305S,01F0339S,41,72,3
2024/04/29 18:00,01H0305S,01F0339S,42,0,0
2024/04/29 18:00,01H0305S,01F0339S,5,0,0
2024/04/29 18:00,01F0339S,01F0376S,31,79,417
2024/04/29 18:00,01F0339S,01F0376S,32,79,94
2024/04/29 18:00,01F0339S,01F0376S,41,70,12
2024/04/29 18:00,01F0339S,01F0376S,42,75,10
2024/04/29 18:00,01F0339S,01F0376S,5,73,6
2024/04/29 18:00,01F0376S,01F0413S,31,50,196
2024/04/29 18:00,01F0376S,01F0413S,32,50,46
2024/04/29 18:00,01F0376S,01F0413S,41,46,7
2024/04/29 18:00,01F0376S,01F0413S,42,46,6
2024/04/29 18:00,01F0376S,01F0413S,5,45,4
2024/04/29 18:00,01F0413S,01F0467S,31,90,205
2024/04/29 18:00,01F0413S,01F0467S,32,91,54
2024/04/29 18:00,01F0413S,01F0467S,41,86,3
2024/04/29 18:00,01F0413S,01F0467S,42,86,6
2024/04/29 18:00,01F0413S,01F0467S,5,79,3
2024/04/29 18:00,01F0467S,01F0492S,31,97,216
2024/04/29 18:00,01F0467S,01F0492S,32,97,62
2024/04/29 18:00,01F0467S,01F0492S,41,90,3
2024/04/29 18:00,01F0467S,01F0492S,42,86,9
2024/04/29 18:00,01F0467S,01F0492S,5,90,6
2024/04/29 18:00,01F0492S,01F0511S,31,75,209
2024/04/29 18:00,01F0492S,01F0511S,32,72,61
2024/04/29 18:00,01F0492S,01F0511S,41,70,4
2024/04/29 18:00,01F0492S,01F0511S,42,72,7
2024/04/29 18:00,01F0492S,01F0511S,5,72,5
2024/04/29 18:00,01F0532S,01F0532N,31,7,5
2024/04/29 18:00,01F0532S,01F0532N,32,3,1
2024/04/29 18:00,01F0532S,01F0532N,41,3,2
2024/04/29 18:00,01F0532S,01F0532N,42,0,0
2024/04/29 18:00,01F0532S,01F0532N,5,3,1
2024/04/29 18:00,01F0511S,01F0532S,31,72,224
2024/04/29 18:00,01F0511S,01F0532S,32,72,64
2024/04/29 18:00,01F0511S,01F0532S,41,66,6
2024/04/29 18:00,01F0511S,01F0532S,42,66,10
2024/04/29 18:00,01F0511S,01F0532S,5,66,4
2024/04/29 18:00,01F0532S,01F0557S,31,32,309
2024/04/29 18:00,01F0532S,01F0557S,32,32,68
2024/04/29 18:00,01F0532S,01F0557S,41,32,10
2024/04/29 18:00,01F0532S,01F0557S,42,32,6
2024/04/29 18:00,01F0532S,01F0557S,5,32,9
2024/04/29 18:00,01F0557S,01F0578S,31,21,196
2024/04/29 18:00,01F0557S,01F0578S,32,21,47
2024/04/29 18:00,01F0557S,01F0578S,41,25,6
2024/04/29 18:00,01F0557S,01F0578S,42,18,8
2024/04/29 18:00,01F0557S,01F0578S,5,18,5
2024/04/29 18:00,01F0578S,01F0633S,31,54,111
2024/04/29 18:00,01F0578S,01F0633S,32,50,40
2024/04/29 18:00,01F0578S,01F0633S,41,50,1
2024/04/29 18:00,01F0578S,01F0633S,42,46,14
2024/04/29 18:00,01F0578S,01F0633S,5,46,10
2024/04/29 18:00,01H0579S,01F0633S,31,57,50
2024/04/29 18:00,01H0579S,01F0633S,32,57,16
2024/04/29 18:00,01H0579S,01F0633S,41,0,0
2024/04/29 18:00,01H0579S,01F0633S,42,0,0
2024/04/29 18:00,01H0579S,01F0633S,5,0,0
2024/04/29 18:00,01F0633S,01F0664S,31,90,149
2024/04/29 18:00,01F0633S,01F0664S,32,86,37
2024/04/29 18:00,01F0633S,01F0664S,41,82,1
2024/04/29 18:00,01F0633S,01F0664S,42,75,13
2024/04/29 18:00,01F0633S,01F0664S,5,75,14
2024/04/29 18:00,01F0664S,01F0681S,31,93,182
2024/04/29 18:00,01F0664S,01F0681S,32,90,45
2024/04/29 18:00,01F0664S,01F0681S,41,97,1
2024/04/29 18:00,01F0664S,01F0681S,42,81,12
2024/04/29 18:00,01F0664S,01F0681S,5,86,13
2024/04/29 18:00,01F0681S,01F0699S,31,93,68
2024/04/29 18:00,01F0681S,01F0699S,32,90,17
2024/04/29 18:00,01F0681S,01F0699S,41,86,1
2024/04/29 18:00,01F0681S,01F0699S,42,77,10
2024/04/29 18:00,01F0681S,01F0699S,5,81,10
2024/04/29 18:00,01F0699S,01F0750S,31,100,69
2024/04/29 18:00,01F0699S,01F0750S,32,100,28
2024/04/29 18:00,01F0699S,01F0750S,41,0,0
2024/04/29 18:00,01F0699S,01F0750S,42,88,16
2024/04/29 18:00,01F0699S,01F0750S,5,86,11
2024/04/29 18:00,01H0610S,01F0750S,31,90,136
2024/04/29 18:00,01H0610S,01F0750S,32,90,40
2024/04/29 18:00,01H0610S,01F0750S,41,82,4
2024/04/29 18:00,01H0610S,01F0750S,42,82,1
2024/04/29 18:00,01H0610S,01F0750S,5,0,0
2024/04/29 18:00,01F0750S,01F0880S,31,93,180
2024/04/29 18:00,01F0750S,01F0880S,32,93,36
2024/04/29 18:00,01F0750S,01F0880S,41,88,6
2024/04/29 18:00,01F0750S,01F0880S,42,79,11
2024/04/29 18:00,01F0750S,01F0880S,5,79,9
2024/04/29 18:00,01F0880S,01F0928S,31,86,221
2024/04/29 18:00,01F0880S,01F0928S,32,90,52
2024/04/29 18:00,01F0880S,01F0928S,41,75,6
2024/04/29 18:00,01F0880S,01F0928S,42,75,8
2024/04/29 18:00,01F0880S,01F0928S,5,75,4
2024/04/29 18:00,01F0928S,01F0950S,31,93,140
2024/04/29 18:00,01F0928S,01F0950S,32,93,52
2024/04/29 18:00,01F0928S,01F0950S,41,79,1
2024/04/29 18:00,01F0928S,01F0950S,42,82,10
2024/04/29 18:00,01F0928S,01F0950S,5,79,4
2024/04/29 18:00,01F0950S,01F0980S,31,91,156
2024/04/29 18:00,01F0950S,01F0980S,32,90,52
2024/04/29 18:00,01F0950S,01F0980S,41,90,1
2024/04/29 18:00,01F0950S,01F0980S,42,75,10
2024/04/29 18:00,01F0950S,01F0980S,5,79,7
2024/04/29 18:00,01F0980S,01F1045S,31,97,199
2024/04/29 18:00,01F0980S,01F1045S,32,97,46
2024/04/29 18:00,01F0980S,01F1045S,41,93,1
2024/04/29 18:00,01F0980S,01F1045S,42,90,5
2024/04/29 18:00,01F0980S,01F1045S,5,86,5
2024/04/29 18:00,01F1045S,01F1123S,31,93,147
2024/04/29 18:00,01F1045S,01F1123S,32,95,38
2024/04/29 18:00,01F1045S,01F1123S,41,86,6
2024/04/29 18:00,01F1045S,01F1123S,42,82,6
2024/04/29 18:00,01F1045S,01F1123S,5,84,2
2024/04/29 18:00,01F1123S,01F1292S,31,100,108
2024/04/29 18:00,01F1123S,01F1292S,32,100,36
2024/04/29 18:00,01F1123S,01F1292S,41,93,3
2024/04/29 18:00,01F1123S,01F1292S,42,81,6
2024/04/29 18:00,01F1123S,01F1292S,5,0,0
2024/04/29 18:00,01F1292S,01F1389S,31,104,89
2024/04/29 18:00,01F1292S,01F1389S,32,100,36
2024/04/29 18:00,01F1292S,01F1389S,41,99,4
2024/04/29 18:00,01F1292S,01F1389S,42,86,2
2024/04/29 18:00,01F1292S,01F1389S,5,81,2
2024/04/29 18:00,01F1389S,01F1465S,31,100,129
2024/04/29 18:00,01F1389S,01F1465S,32,97,49
2024/04/29 18:00,01F1389S,01F1465S,41,97,3
2024/04/29 18:00,01F1389S,01F1465S,42,90,8
2024/04/29 18:00,01F1389S,01F1465S,5,84,4
2024/04/29 18:00,01F1465S,01F1572S,31,100,136
2024/04/29 18:00,01F1465S,01F1572S,32,100,39
2024/04/29 18:00,01F1465S,01F1572S,41,97,4
2024/04/29 18:00,01F1465S,01F1572S,42,93,1
2024/04/29 18:00,01F1465S,01F1572S,5,86,1
2024/04/29 18:00,01F1572S,01F1621S,31,100,157
2024/04/29 18:00,01F1572S,01F1621S,32,100,44
2024/04/29 18:00,01F1572S,01F1621S,41,52,4
2024/04/29 18:00,01F1572S,01F1621S,42,86,9
2024/04/29 18:00,01F1572S,01F1621S,5,82,3
2024/04/29 18:00,01F1621S,01F1664S,31,100,152
2024/04/29 18:00,01F1621S,01F1664S,32,100,37
2024/04/29 18:00,01F1621S,01F1664S,41,93,3
2024/04/29 18:00,01F1621S,01F1664S,42,68,7
2024/04/29 18:00,01F1621S,01F1664S,5,66,2
2024/04/29 18:00,01F1664S,01F1699S,31,64,285
2024/04/29 18:00,01F1664S,01F1699S,32,64,62
2024/04/29 18:00,01F1664S,01F1699S,41,64,4
2024/04/29 18:00,01F1664S,01F1699S,42,61,7
2024/04/29 18:00,01F1664S,01F1699S,5,54,5
2024/04/29 18:00,01F1699S,01F1774S,31,73,212
2024/04/29 18:00,01F1699S,01F1774S,32,75,37
2024/04/29 18:00,01F1699S,01F1774S,41,72,6
2024/04/29 18:00,01F1699S,01F1774S,42,72,5
2024/04/29 18:00,01F1699S,01F1774S,5,68,4
2024/04/29 18:00,01F1774S,01F1802S,31,104,138
2024/04/29 18:00,01F1774S,01F1802S,32,104,45
2024/04/29 18:00,01F1774S,01F1802S,41,97,4
2024/04/29 18:00,01F1774S,01F1802S,42,93,7
2024/04/29 18:00,01F1774S,01F1802S,5,100,3
2024/04/29 18:00,01F1802S,01F1839S,31,104,191
2024/04/29 18:00,01F1802S,01F1839S,32,104,53
2024/04/29 18:00,01F1802S,01F1839S,41,99,4
2024/04/29 18:00,01F1802S,01F1839S,42,93,7
2024/04/29 18:00,01F1802S,01F1839S,5,0,0
2024/04/29 18:00,01F1839S,01F1906S,31,100,175
2024/04/29 18:00,01F1839S,01F1906S,32,97,45
2024/04/29 18:00,01F1839S,01F1906S,41,95,4
2024/04/29 18:00,01F1839S,01F1906S,42,91,2
2024/04/29 18:00,01F1839S,01F1906S,5,0,0
2024/04/29 18:00,01F1906S,01F1960S,31,97,200
2024/04/29 18:00,01F1906S,01F1960S,32,93,60
2024/04/29 18:00,01F1906S,01F1960S,41,97,3
2024/04/29 18:00,01F1906S,01F1960S,42,88,12
2024/04/29 18:00,01F1906S,01F1960S,5,82,4
2024/04/29 18:00,01F1960S,01F2011S,31,100,175
2024/04/29 18:00,01F1960S,01F2011S,32,97,70
2024/04/29 18:00,01F1960S,01F2011S,41,93,3
2024/04/29 18:00,01F1960S,01F2011S,42,82,14
2024/04/29 18:00,01F1960S,01F2011S,5,82,18
2024/04/29 18:00,01F2011S,01F2089S,31,100,188
2024/04/29 18:00,01F2011S,01F2089S,32,100,66
2024/04/29 18:00,01F2011S,01F2089S,41,93,2
2024/04/29 18:00,01F2011S,01F2089S,42,90,25
2024/04/29 18:00,01F2011S,01F2089S,5,86,17
2024/04/29 18:00,01F2089S,01F2156S,31,104,180
2024/04/29 18:00,01F2089S,01F2156S,32,104,57
2024/04/29 18:00,01F2089S,01F2156S,41,99,6
2024/04/29 18:00,01F2089S,01F2156S,42,93,18
2024/04/29 18:00,01F2089S,01F2156S,5,86,22
2024/04/29 18:00,01F2156S,01F2249S,31,108,118
2024/04/29 18:00,01F2156S,01F2249S,32,108,26
2024/04/29 18:00,01F2156S,01F2249S,41,99,4
2024/04/29 18:00,01F2156S,01F2249S,42,86,13
2024/04/29 18:00,01F2156S,01F2249S,5,86,15
2024/04/29 18:00,01F2249S,01F2322S,31,104,113
